id,name,full_name,team,position,cost,total_points,minutes,goals,assists,clean_sheets,yellow_cards,red_cards,chance_of_playing_next_round,news,status,form,selected_by_percent,transfers_in,transfers_out,games_played,bonus_points,influence,creativity,threat,ict_index
703,Proctor,Sam Proctor,Aston Villa,1,4.0,0,0,0,0,0,0,0,,,a,0.0,0.2,19264,11210,0,0,0.0,0.0,0.0,0.0
710,Patterson,Travis Patterson,Aston Villa,2,3.9,0,0,0,0,0,0,0,,,a,0.0,0.2,30594,13700,0,0,0.0,0.0,0.0,0.0
719,Lindelöf,Victor Lindelöf,Aston Villa,2,4.5,3,21,0,0,0,0,0,100.0,,a,0.0,0.0,4726,3155,0,0,3.0,0.4,0.0,0.4
754,George Hemmings,George Hemmings,Aston Villa,3,4.5,0,0,0,0,0,0,0,,,a,0.0,0.0,104,28,0,0,0.0,0.0,0.0,0.0
757,Hollingshead,Ronnie Hollingshead,Aston Villa,1,4.0,0,0,0,0,0,0,0,,,a,0.0,0.0,15,0,0,0,0.0,0.0,0.0,0.0
183,Weiss,Max Weiß,Burnley,1,4.3,0,0,0,0,0,0,0,,,a,0.0,0.1,4240,12791,0,0,0.0,0.0,0.0,0.0
184,Green,Etienne Green,Burnley,1,4.0,0,0,0,0,0,0,0,0.0,has joined FC Fredericia permanently.,u,0.0,0.2,4943,28604,0,0,0.0,0.0,0.0,0.0
185,Hladký,Václav Hladký,Burnley,1,3.9,0,0,0,0,0,0,0,,,a,0.0,0.2,7714,12571,0,0,0.0,0.0,0.0,0.0
186,Roberts,Connor Roberts,Burnley,2,4.4,0,0,0,0,0,0,0,0.0,Achilles injury - Unknown return date,i,0.0,0.0,1011,8273,0,0,0.0,0.0,0.0,0.0
187,Walker,Kyle Walker,Burnley,2,4.4,34,1260,0,1,2,4,0,,,a,1.2,1.5,111338,177703,14,3,240.6,72.8,16.0,33.0
188,Delcroix,Hannes Delcroix,Burnley,2,3.8,0,0,0,0,0,0,0,,,a,0.0,0.3,15872,24358,0,0,0.0,0.0,0.0,0.0
189,Dodgson,Owen Dodgson,Burnley,2,4.0,0,0,0,0,0,0,0,0.0,Has joined Stockport County on loan for the rest of the season.,u,0.0,0.0,0,2209,0,0,0.0,0.0,0.0,0.0
190,Ekdal,Hjalmar Ekdal,Burnley,2,4.0,24,623,0,0,1,0,0,,,a,1.0,0.9,210917,145231,7,1,159.8,27.5,61.0,24.8
191,Estève,Maxime Estève,Burnley,2,3.9,38,1252,0,0,2,0,0,,,a,3.2,11.6,545072,1259344,14,0,302.2,51.4,42.0,39.7
192,Hartman,Quilindschy Hartman,Burnley,2,4.0,42,1247,0,4,2,1,0,,,a,1.8,1.0,136250,78317,14,0,294.2,226.2,49.0,57.0
193,Humphreys,Bashir Humphreys,Burnley,2,3.9,0,2,0,0,0,0,0,100.0,,a,0.0,0.1,2794,5370,0,0,0.2,0.0,0.0,0.0
194,Jordan,Jordan Beyer,Burnley,2,4.0,0,0,0,0,0,0,0,0.0,Hamstring injury - Unknown return date,i,0.0,0.1,1112,13849,0,0,0.0,0.0,0.0,0.0
195,Lucas Pires,Lucas Pires Silva,Burnley,2,3.8,1,9,0,0,0,0,0,,,a,0.2,0.2,16861,15352,0,0,4.4,14.5,0.0,1.9
196,Sambo,Shurandy Sambo,Burnley,2,4.0,0,0,0,0,0,0,0,0.0,Has joined Sparta Rotterdam on loan for the rest of the season.,u,0.0,0.0,202,9041,0,0,0.0,0.0,0.0,0.0
197,Sonne,Oliver Sonne,Burnley,2,3.9,3,102,0,0,0,0,0,,,a,0.0,0.1,5382,10913,1,0,7.6,16.4,6.0,3.0
198,Tuanzebe,Axel Tuanzebe,Burnley,2,3.9,17,630,0,0,1,1,0,0.0,Knock - Expected back 13 Dec,i,1.0,1.7,130547,188522,7,0,143.6,4.8,0.0,15.0
199,Worrall,Joe Worrall,Burnley,2,3.9,4,19,0,0,0,0,0,,,a,0.0,0.2,15426,14536,0,0,11.2,0.3,0.0,1.2
200,Anthony,Jaidon Anthony,Burnley,3,5.4,56,1029,4,2,3,3,0,100.0,,a,2.2,3.8,1167086,782593,13,5,250.0,188.6,241.0,67.9
201,Benson,Manuel Benson Hedilazio,Burnley,3,5.4,0,0,0,0,0,0,0,0.0,has joined Swansea City on loan for the rest of the season.,u,0.0,0.0,1070,3023,0,0,0.0,0.0,0.0,0.0
202,Bruun Larsen,Jacob Bruun Larsen,Burnley,3,5.3,19,485,0,1,1,0,0,100.0,,a,1.0,0.0,3188,5610,4,0,63.2,79.6,82.0,22.5
203,Boateng,Enock Agyei,Burnley,3,4.8,0,0,0,0,0,0,0,,,a,0.0,0.0,1733,5063,0,0,0.0,0.0,0.0,0.0
204,Churlinov,Darko Churlinov,Burnley,3,4.9,0,0,0,0,0,0,0,0.0,has joined Kocaelispor  permanently.,u,0.0,0.0,160,1994,0,0,0.0,0.0,0.0,0.0
205,Cullen,Josh Cullen,Burnley,3,5.0,61,1191,2,1,3,1,0,,,a,4.5,2.3,513341,302599,14,8,294.2,157.7,79.0,53.3
206,Edwards,Marcus Edwards,Burnley,3,4.7,4,54,0,0,0,0,0,,,a,0.5,0.1,5164,11145,0,0,6.8,16.3,30.0,5.1
207,Hannibal,Hannibal Mejbri,Burnley,3,4.8,22,395,0,2,1,3,0,,,a,1.2,0.1,11594,18093,4,0,55.0,105.2,30.0,19.0
208,Koleosho,Luca Koleosho,Burnley,3,5.0,0,0,0,0,0,0,0,0.0,Has joined Espanyol on loan for the rest of the season.,u,0.0,0.0,68,2952,0,0,0.0,0.0,0.0,0.0
209,Laurent,Josh Laurent,Burnley,3,4.8,17,578,0,0,0,1,0,,,a,0.5,0.0,1335,2765,6,0,77.4,40.9,32.0,15.1
210,Tchaouna,Loum Tchaouna,Burnley,3,4.9,28,629,1,1,2,1,0,,,a,2.0,0.0,3679,4024,8,0,77.4,55.3,72.0,20.5
211,A.Ramsey,Aaron Ramsey,Burnley,3,4.4,0,0,0,0,0,0,0,0.0,has joined Leicester City on loan for the rest of the season.,u,0.0,1.8,62789,884788,0,0,0.0,0.0,0.0,0.0
212,Adewumi,Oluwaseun Adewumi,Burnley,3,4.5,0,0,0,0,0,0,0,0.0,Has joined Cercle Brugge on loan for the rest of the season.,u,0.0,0.0,0,2619,0,0,0.0,0.0,0.0,0.0
213,Banel,Jaydon Banel,Burnley,3,4.5,0,0,0,0,0,0,0,,,a,0.0,0.0,5282,5722,0,0,0.0,0.0,0.0,0.0
214,Trésor,Mike Trésor Ndayishimiye,Burnley,3,4.4,0,0,0,0,0,0,0,,,a,0.0,0.1,7993,9967,0,0,0.0,0.0,0.0,0.0
215,Flemming,Zian Flemming,Burnley,4,5.3,34,562,4,0,1,2,0,,,a,3.5,0.4,63983,38182,7,3,173.6,46.1,158.0,37.3
216,Amdouni,Zeki Amdouni,Burnley,4,4.8,0,0,0,0,0,0,0,0.0,Knee injury - Unknown return date,i,0.0,0.0,1142,5301,0,0,0.0,0.0,0.0,0.0
