id,web_name,full_name,team_id,team_name,position,status,status_description,chance_of_playing_next,news,minutes,starts,goals_scored,assists,yellow_cards,red_cards,influence,creativity,threat,ict_index,current_gameweek
44,Bogarde,Lamare Bogarde,2,Aston Villa,DEF,a,Available,100.0,,432,4,0,0,4,0,58.2,37.4,6.0,10.1,21
45,Sousa,Lino da Cruz Sousa,2,Aston Villa,DEF,a,Available,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
46,Yasin,Yasin Özcan,2,Aston Villa,DEF,u,Unavailable,0.0,has joined Anderlecht on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
47,Rogers,Morgan Rogers,2,Aston Villa,MID,a,Available,100.0,,1867,21,7,4,4,0,455.6,358.8,455.0,126.8,21
48,Tielemans,Youri Tielemans,2,Aston Villa,MID,a,Available,100.0,,1132,13,0,4,0,0,261.2,294.5,139.0,69.5,21
49,Bailey,Leon Bailey,2,Aston Villa,MID,u,Unavailable,0.0,Has joined AS Roma on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
50,Buendía,Emiliano Buendía Stati,2,Aston Villa,MID,a,Available,100.0,,772,9,4,2,2,0,246.0,197.3,180.0,62.4,21
51,Iling Jr,Samuel Iling-Junior,2,Aston Villa,MID,u,Unavailable,0.0,has joined West Bromwich Albion on loan for the rest of the season,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
53,Malen,Donyell Malen,2,Aston Villa,MID,a,Available,,,640,5,4,2,0,0,183.4,99.7,290.0,56.3,21
54,McGinn,John McGinn,2,Aston Villa,MID,a,Available,,,1574,20,3,2,3,0,308.2,384.1,193.0,88.8,21
55,Barkley,Ross Barkley,2,Aston Villa,MID,i,Injured,0.0,Knee injury - Expected back 07 Feb,114,0,1,1,0,0,51.8,33.7,55.0,14.0,21
56,Barrenechea,Enzo Barrenechea,2,Aston Villa,MID,u,Unavailable,0.0,Season-long loan to Benfica,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
57,Dobbin,Lewis Dobbin,2,Aston Villa,MID,u,Unavailable,0.0,Has joined Preston North End on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
58,Kamara,Boubacar Kamara,2,Aston Villa,MID,d,Doubtful,75.0,Knee injury - 75% chance of playing,1410,17,1,3,5,0,325.0,241.3,75.0,64.2,21
59,Onana,Amadou Onana,2,Aston Villa,MID,i,Injured,0.0,Knock - Unknown return date,886,11,2,0,2,0,242.2,60.6,67.0,37.0,21
60,Broggio,Ben Broggio,2,Aston Villa,MID,a,Available,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
61,Dendoncker,Leander Dendoncker,2,Aston Villa,MID,u,Unavailable,0.0,Has joined Real Oviedo permanently.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
62,Jimoh-Aloba,Jamaldeen Jimoh-Aloba,2,Aston Villa,MID,a,Available,,,8,0,0,0,0,0,0.2,0.3,0.0,0.1,21
63,Young,Kadan Young,2,Aston Villa,MID,a,Available,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
64,Watkins,Ollie Watkins,2,Aston Villa,FWD,a,Available,100.0,,1561,18,7,2,1,0,324.2,164.9,600.0,108.8,21
65,Redmond,Zépiqueno Redmond,2,Aston Villa,FWD,u,Unavailable,0.0,has joined Huddersfield Town on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
389,Elliott,Harvey Elliott,2,Aston Villa,MID,a,Available,100.0,,97,1,0,0,0,0,8.6,17.8,18.0,4.4,21
456,Sancho,Jadon Sancho,2,Aston Villa,MID,a,Available,100.0,,302,2,0,0,0,0,39.0,85.4,105.0,23.1,21
677,Guessand,Evann Guessand,2,Aston Villa,MID,a,Available,100.0,,511,6,0,2,0,0,75.4,42.4,109.0,22.3,21
688,Wright,James Wright,2,Aston Villa,GK,a,Available,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
701,Rowe,Triston Rowe,2,Aston Villa,DEF,u,Unavailable,0.0,has joined Annecy on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
702,Burrowes,Bradley Burrowes,2,Aston Villa,MID,a,Available,,,16,0,0,0,0,0,0.0,0.3,0.0,0.0,21
703,Proctor,Sam Proctor,2,Aston Villa,GK,a,Available,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
710,Patterson,Travis Patterson,2,Aston Villa,DEF,a,Available,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
719,Lindelöf,Victor Lindelöf,2,Aston Villa,DEF,a,Available,100.0,,565,6,0,1,0,0,121.0,26.5,8.0,15.6,21
754,George Hemmings,George Hemmings,2,Aston Villa,MID,a,Available,,,8,0,0,0,0,0,0.0,1.0,0.0,0.1,21
757,Hollingshead,Ronnie Hollingshead,2,Aston Villa,GK,a,Available,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
768,Leon Routh,Leon Routh,2,Aston Villa,DEF,a,Available,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
781,Carroll,TJ Carroll,2,Aston Villa,DEF,a,Available,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
792,Alysson,Alysson Edward Franco da Rocha dos Santos,2,Aston Villa,MID,a,Available,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
183,Weiss,Max Weiß,3,Burnley,GK,a,Available,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
184,Green,Etienne Green,3,Burnley,GK,u,Unavailable,0.0,has joined FC Fredericia permanently.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
185,Hladký,Václav Hladký,3,Burnley,GK,a,Available,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
186,Roberts,Connor Roberts,3,Burnley,DEF,i,Injured,0.0,Achilles injury - Unknown return date,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
187,Walker,Kyle Walker,3,Burnley,DEF,a,Available,100.0,,1786,20,0,1,7,0,287.8,93.3,22.0,40.5,21
188,Delcroix,Hannes Delcroix,3,Burnley,DEF,u,Unavailable,0.0,has joined Lugano permanently.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
189,Dodgson,Owen Dodgson,3,Burnley,DEF,u,Unavailable,0.0,Has joined Stockport County on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
190,Ekdal,Hjalmar Ekdal,3,Burnley,DEF,a,Available,,,1163,13,0,0,0,0,267.6,43.1,78.0,38.9,21
191,Estève,Maxime Estève,3,Burnley,DEF,a,Available,100.0,,1536,18,0,0,0,0,373.0,67.5,60.0,50.3,21
192,Hartman,Quilindschy Hartman,3,Burnley,DEF,a,Available,,,1337,15,0,5,1,0,305.4,228.9,57.0,59.2,21
193,Humphreys,Bashir Humphreys,3,Burnley,DEF,a,Available,100.0,,347,3,0,1,1,0,90.8,19.0,18.0,12.7,21
194,Jordan,Jordan Beyer,3,Burnley,DEF,i,Injured,0.0,Hamstring injury - Unknown return date,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
195,Lucas Pires,Lucas Pires Silva,3,Burnley,DEF,a,Available,100.0,,501,6,0,0,0,1,64.6,94.7,44.0,20.2,21
196,Sambo,Shurandy Sambo,3,Burnley,DEF,u,Unavailable,0.0,Has joined Sparta Rotterdam on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
197,Sonne,Oliver Sonne,3,Burnley,DEF,a,Available,,,164,1,1,0,0,0,44.8,18.1,30.0,9.2,21
198,Tuanzebe,Axel Tuanzebe,3,Burnley,DEF,a,Available,100.0,,706,8,0,0,1,0,149.8,8.6,0.0,16.0,21
199,Worrall,Joe Worrall,3,Burnley,DEF,d,Doubtful,50.0,Muscle injury - 50% chance of playing,154,1,0,0,0,0,42.4,0.8,2.0,4.6,21
200,Anthony,Jaidon Anthony,3,Burnley,MID,a,Available,100.0,,1251,15,5,2,3,0,318.6,235.3,277.0,83.0,21
201,Benson,Manuel Benson Hedilazio,3,Burnley,MID,u,Unavailable,0.0,has joined Swansea City on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
202,Bruun Larsen,Jacob Bruun Larsen,3,Burnley,MID,a,Available,100.0,,853,9,0,1,0,0,104.6,175.9,123.0,40.3,21
203,Boateng,Enock Agyei,3,Burnley,MID,a,Available,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
204,Churlinov,Darko Churlinov,3,Burnley,MID,u,Unavailable,0.0,has joined Kocaelispor  permanently.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
205,Cullen,Josh Cullen,3,Burnley,MID,i,Injured,0.0,Knee injury - Expected back 30 Sep,1513,18,2,2,2,0,342.0,218.1,98.0,66.0,21
206,Edwards,Marcus Edwards,3,Burnley,MID,a,Available,,,398,3,0,2,0,0,90.6,182.8,98.0,36.9,21
207,Hannibal,Hannibal Mejbri,3,Burnley,MID,a,Available,100.0,,452,5,0,2,4,0,58.2,118.1,35.0,21.1,21
208,Koleosho,Luca Koleosho,3,Burnley,MID,u,Unavailable,0.0,Has joined Espanyol on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
209,Laurent,Josh Laurent,3,Burnley,MID,a,Available,,,1053,11,1,0,3,0,212.8,80.2,68.0,36.2,21
210,Tchaouna,Loum Tchaouna,3,Burnley,MID,a,Available,,,752,9,1,1,1,0,85.4,76.0,101.0,26.2,21
211,A.Ramsey,Aaron Ramsey,3,Burnley,MID,u,Unavailable,0.0,has joined Leicester City on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
212,Adewumi,Oluwaseun Adewumi,3,Burnley,MID,u,Unavailable,0.0,Has joined Cercle Brugge on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
213,Banel,Jaydon Banel,3,Burnley,MID,a,Available,,,9,0,0,0,0,0,0.0,0.5,0.0,0.0,21
214,Trésor,Mike Trésor Ndayishimiye,3,Burnley,MID,i,Injured,0.0,Knock - Unknown return date,19,0,0,0,0,0,0.6,0.4,2.0,0.3,21
215,Flemming,Zian Flemming,3,Burnley,FWD,d,Doubtful,50.0,Knock - 50% chance of playing,660,8,5,0,3,0,209.0,58.6,207.0,46.8,21
216,Amdouni,Zeki Amdouni,3,Burnley,FWD,i,Injured,0.0,Knee injury - Expected back 25 Apr,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
217,Foster,Lyle Foster,3,Burnley,FWD,a,Available,100.0,,880,11,2,1,3,0,131.4,107.3,127.0,36.1,21
218,Barnes,Ashley Barnes,3,Burnley,FWD,a,Available,,,9,0,0,0,0,0,0.2,0.3,7.0,0.8,21
219,Obafemi,Michael Obafemi,3,Burnley,FWD,u,Unavailable,0.0,has joined VfL Bochum  on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
470,Dúbravka,Martin Dúbravka,3,Burnley,GK,a,Available,100.0,,1890,21,0,0,0,0,600.2,0.0,0.0,60.2,21
676,Ugochukwu,Lesley Ugochukwu,3,Burnley,MID,a,Available,100.0,,1282,15,3,1,0,1,266.4,106.5,164.0,53.4,21
680,Broja,Armando Broja,3,Burnley,FWD,a,Available,100.0,,626,6,1,1,0,0,96.2,57.6,179.0,33.5,21
722,Florentino,Florentino Ibrain Morris Luís,3,Burnley,MID,a,Available,,,1313,15,0,1,3,0,264.6,145.9,39.0,45.2,21
776,Pimlott,Oliver Pimlott,3,Burnley,MID,a,Available,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
784,Brierley,George Brierley,3,Burnley,MID,a,Available,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
66,Neto,Norberto Murara Neto,4,Bournemouth,GK,u,Unavailable,0.0,Has joined Botafogo permanently.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
67,Petrović,Đorđe Petrović,4,Bournemouth,GK,a,Available,,,1890,21,0,0,1,0,435.0,0.0,0.0,43.7,21
68,Dennis,Will Dennis,4,Bournemouth,GK,i,Injured,0.0,Ankle injury - Unknown return date,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
69,McKenna,Callan McKenna,4,Bournemouth,GK,a,Available,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
70,Paulsen,Alex Paulsen,4,Bournemouth,GK,u,Unavailable,0.0,Has joined Lechia Gdansk on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
71,Zabarnyi,Illia Zabarnyi,4,Bournemouth,DEF,u,Unavailable,0.0,Has joined Paris Saint-Germain permanently.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
72,Senesi,Marcos Senesi Barón,4,Bournemouth,DEF,a,Available,100.0,,1758,20,0,4,6,0,684.8,263.8,103.0,105.2,21
73,Smith,Adam Smith,4,Bournemouth,DEF,a,Available,100.0,,522,8,0,1,1,0,56.2,28.3,18.0,10.2,21
74,Truffert,Adrien Truffert,4,Bournemouth,DEF,a,Available,,,1848,21,0,1,3,0,429.6,303.2,81.0,81.3,21
75,Akinmboni,Matai Akinmboni,4,Bournemouth,DEF,d,Doubtful,25.0,Muscle injury - 25% chance of playing,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
76,Bevan,Owen Bevan,4,Bournemouth,DEF,a,Available,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
77,Hill,James Hill,4,Bournemouth,DEF,a,Available,,,572,5,0,0,1,0,136.2,20.7,51.0,20.8,21
78,J.Araujo,Julián Araujo Zúñiga,4,Bournemouth,DEF,u,Unavailable,0.0,has joined Celtic on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
79,Mepham,Chris Mepham,4,Bournemouth,DEF,u,Unavailable,0.0,has joined West Bromwich Albion permanently.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
80,Soler,Julio Soler Barreto,4,Bournemouth,DEF,a,Available,100.0,,34,0,0,0,0,0,1.8,2.5,2.0,0.6,21
81,Kluivert,Justin Kluivert,4,Bournemouth,MID,i,Injured,0.0,Knee injury - Expected back 09 May,914,10,2,0,4,0,146.6,304.1,128.0,57.8,21
84,Tavernier,Marcus Tavernier,4,Bournemouth,MID,a,Available,,,1692,19,4,3,3,0,385.8,427.6,308.0,112.3,21
85,Adams,Tyler Adams,4,Bournemouth,MID,i,Injured,0.0,Knee injury - Expected back 21 Feb,1196,15,2,1,5,0,266.2,74.0,105.0,44.7,21
86,Brooks,David Brooks,4,Bournemouth,MID,a,Available,100.0,,932,11,1,2,6,0,191.6,297.7,379.0,85.4,21
87,Christie,Ryan Christie,4,Bournemouth,MID,d,Doubtful,50.0,Knee injury - 50% chance of playing,287,1,1,1,1,0,79.4,58.0,84.0,22.3,21
88,Cook,Lewis Cook,4,Bournemouth,MID,a,Available,100.0,,500,4,0,1,1,1,121.4,130.6,10.0,26.4,21
89,Philip,Philip Billing,4,Bournemouth,MID,u,Unavailable,0.0,Has joined Midtjylland permanently.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
90,Scott,Alex Scott,4,Bournemouth,MID,a,Available,100.0,,1408,18,1,1,2,0,251.8,183.8,130.0,56.1,21
91,Sinisterra,Luis Sinisterra Lucumí,4,Bournemouth,MID,u,Unavailable,0.0,Has joined Cruzeiro on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
92,Faivre,Romain Faivre,4,Bournemouth,MID,u,Unavailable,0.0,has joined Al Taawoun permanently.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
93,H.Traorè,Hamed Traorè,4,Bournemouth,MID,u,Unavailable,0.0,has joined Marseille on loan for the rest of the season.,16,0,0,1,0,0,21.2,10.0,0.0,3.1,21
94,Sadi,Dominic Sadi,4,Bournemouth,MID,u,Unavailable,0.0,has joined Novi Pazar on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
95,Silcott-Duberry,Zain Silcott-Duberry,4,Bournemouth,MID,u,Unavailable,0.0,has joined Olympiakos permanently.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
96,Winterburn,Ben Winterburn,4,Bournemouth,MID,u,Unavailable,0.0,has joined Barnet on loan for the rest of the season.,6,0,0,0,0,0,0.0,0.0,0.0,0.0,21
97,Evanilson,Francisco Evanilson de Lima Barbosa,4,Bournemouth,FWD,a,Available,100.0,,1406,16,4,3,1,0,182.0,206.1,429.0,81.4,21
98,Enes Ünal,Enes Ünal,4,Bournemouth,FWD,i,Injured,0.0,Muscle injury - Expected back 31 Jan,111,0,1,0,1,0,38.0,4.1,51.0,9.0,21
99,Adu-Adjei,Daniel Adu-Adjei,4,Bournemouth,FWD,u,Unavailable,0.0,has joined HNK Rijeka permanently.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
100,Kroupi.Jr,Junior Kroupi,4,Bournemouth,FWD,a,Available,,,568,7,7,0,2,0,266.0,86.2,265.0,61.7,21
391,Gannon-Doak,Ben Gannon-Doak,4,Bournemouth,MID,i,Injured,0.0,Hamstring injury - Unknown return date,53,0,0,1,0,0,21.2,14.0,11.0,4.7,21
685,Diakité,Bafodé Diakité,4,Bournemouth,DEF,a,Available,100.0,,1263,15,0,0,1,0,262.8,54.3,22.0,34.0,21
687,Rees-Dottin,Remy Rees-Dottin,4,Bournemouth,MID,a,Available,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
697,Adli,Amine Adli,4,Bournemouth,MID,a,Available,,,429,3,1,0,1,0,113.6,87.2,109.0,30.3,21
713,A.Jimenez,Álex Jiménez Sánchez,4,Bournemouth,DEF,a,Available,,,1153,13,0,2,5,0,169.6,94.0,74.0,33.7,21
721,Milosavljević,Veljko Milosavljevic,4,Bournemouth,DEF,a,Available,100.0,,366,4,0,0,0,0,98.4,13.9,10.0,12.2,21
756,DaCosta,Malcom DaCosta,4,Bournemouth,MID,a,Available,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
782,Forster,Fraser Forster,4,Bournemouth,GK,a,Available,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
27,Nelson,Reiss Nelson,5,Brentford,MID,a,Available,100.0,,50,0,0,0,0,0,16.4,4.0,16.0,3.4,21
83,O.Dango,Dango Ouattara,5,Brentford,MID,a,Available,100.0,,1061,12,3,4,3,0,183.6,96.5,309.0,58.4,21
101,Kelleher,Caoimhín Kelleher,5,Brentford,GK,a,Available,100.0,,1890,21,0,0,1,0,524.2,20.0,0.0,54.5,21
102,Balcombe,Ellery Balcombe,5,Brentford,GK,a,Available,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
103,Cox,Matthew Cox,5,Brentford,GK,a,Available,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
104,Eyestone,Julian Eyestone,5,Brentford,GK,a,Available,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
105,Valdimarsson,Hákon Rafn Valdimarsson,5,Brentford,GK,a,Available,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
106,Collins,Nathan Collins,5,Brentford,DEF,a,Available,,,1816,20,1,2,4,0,588.0,100.1,221.0,91.1,21
107,Lewis-Potter,Keane Lewis-Potter,5,Brentford,DEF,a,Available,,,904,10,2,1,1,0,171.6,149.4,145.0,46.6,21
108,Ajer,Kristoffer Ajer,5,Brentford,DEF,a,Available,100.0,,971,11,0,2,1,0,222.0,28.8,114.0,36.6,21
109,Henry,Rico Henry,5,Brentford,DEF,a,Available,,,712,6,0,1,2,0,68.0,33.0,22.0,12.2,21
110,Kayode,Michael Kayode,5,Brentford,DEF,a,Available,,,1828,21,0,1,5,0,362.2,299.2,67.0,73.0,21
111,Pinnock,Ethan Pinnock,5,Brentford,DEF,a,Available,100.0,,228,3,0,0,1,0,62.8,1.1,12.0,7.6,21
112,Roerslev,Mads Roerslev Rasmussen,5,Brentford,DEF,u,Unavailable,0.0,Has joined Southampton permanently.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
113,Van den Berg,Sepp van den Berg,5,Brentford,DEF,a,Available,100.0,,1530,17,0,0,1,0,341.4,31.7,173.0,54.7,21
114,Arthur,Benjamin Arthur,5,Brentford,DEF,a,Available,100.0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
