player_id,player_name,games_played,recent_minutes_last_5,recent_games_last_5,avg_minutes_per_game_last_5,times_unavailable_last_10,max_consecutive_unavailable,total_minutes_last_10,games_started_last_10,workload_trend
670,Robin Roefs,15,450,5,90.0,0,0,900,10,stable
678,Arthur Masuaku,15,0,0,0.0,8,8,115,0,decreasing
683,Omar Alderete,15,270,3,54.0,4,4,540,6,stable
694,Nordi Mukiele,14,450,5,90.0,0,1,900,10,stable
724,Lutsharel Geertruida,12,281,5,56.2,0,0,517,5,stable
730,Brian Brobbey,12,175,5,35.0,1,1,233,1,increasing
735,Bertrand Traoré,12,243,4,48.6,1,2,538,6,stable
565,Guglielmo Vicario,15,450,5,90.0,0,0,900,10,stable
566,Brandon Austin,15,0,0,0.0,10,15,0,0,stable
567,Antonín Kinský,15,0,0,0.0,10,15,0,0,stable
568,Pedro Porro Sauceda,15,348,5,69.6,0,0,717,8,stable
569,Cristian Romero,15,347,4,69.4,3,2,557,6,increasing
570,Kevin Danso,15,236,5,47.2,1,2,480,4,stable
571,Ben Davies,15,0,0,0.0,10,15,0,0,stable
572,Radu Drăgușin,15,0,0,0.0,10,15,0,0,stable
573,Djed Spence,15,257,3,51.4,3,2,584,7,stable
574,Destiny Udogie,15,287,4,57.4,3,2,477,5,increasing
575,Micky van de Ven,15,360,4,72.0,1,1,810,9,stable
576,Ashley Phillips,15,0,0,0.0,10,15,0,0,stable
577,Takai Kōta,15,0,0,0.0,10,15,0,0,stable
578,Luka Vušković,15,0,0,0.0,10,15,0,0,stable
579,Son Heung-min,15,0,0,0.0,10,15,0,0,stable
580,Brennan Johnson,15,178,3,35.6,2,1,318,3,stable
581,James Maddison,15,0,0,0.0,10,15,0,0,stable
582,Mohammed Kudus,15,332,4,66.4,1,1,768,9,stable
583,Dejan Kulusevski,15,0,0,0.0,10,15,0,0,stable
584,Mathys Tel,15,29,3,5.8,3,1,167,1,decreasing
585,Rodrigo Bentancur,15,260,5,52.0,0,1,645,7,decreasing
586,Lucas Bergvall,15,152,2,30.4,4,2,275,3,stable
587,Yves Bissouma,15,0,0,0.0,10,15,0,0,stable
588,Wilson Odobert,15,159,5,31.8,1,1,350,3,stable
589,Manor Solomon,15,0,0,0.0,10,15,0,0,stable
590,Bryan Gil Salvatierra,15,0,0,0.0,10,15,0,0,stable
591,Archie Gray,15,152,3,30.4,7,7,152,1,increasing
592,Mikey Moore,15,0,0,0.0,10,15,0,0,stable
593,Pape Matar Sarr,15,223,5,44.6,0,1,358,3,increasing
594,Yang Min-hyeok,15,0,0,0.0,10,15,0,0,stable
595,Callum Olusesi,15,0,0,0.0,10,15,0,0,stable
596,Dominic Solanke-Mitchell,15,0,0,0.0,10,13,0,0,stable
597,Richarlison de Andrade,15,342,5,68.4,0,0,536,4,increasing
598,Will Lankshear,15,0,0,0.0,10,15,0,0,stable
599,Dane Scarlett,15,0,0,0.0,10,15,0,0,stable
673,João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,15,252,4,50.4,1,1,702,7,decreasing
717,Xavi Simons,12,256,5,51.2,0,0,609,7,stable
726,Randal Kolo Muani,12,308,5,61.6,2,4,452,5,increasing
745,Jun'ai Byfield,8,0,0,0.0,8,8,0,0,insufficient_data
750,James Rowswell,5,0,0,0.0,5,5,0,0,insufficient_data
751,Yusuf Akhamrich,5,0,0,0.0,5,5,0,0,insufficient_data
149,Igor Julio dos Santos de Paulo,15,97,2,19.4,6,5,103,1,increasing
600,Alphonse Areola,15,450,5,90.0,0,4,900,10,stable
601,Wes Foderingham,15,0,0,0.0,10,15,0,0,stable
602,Krisztián Hegyi,15,0,0,0.0,10,15,0,0,stable
603,El Hadji Malick Diouf,15,442,5,88.4,0,0,847,9,stable
604,Emerson Palmieri dos Santos,15,0,0,0.0,10,15,0,0,stable
605,Maximilian Kilman,15,273,4,54.6,1,1,723,8,decreasing
606,Konstantinos Mavropanos,15,270,3,54.0,4,4,495,5,stable
607,Nayef Aguerd,15,0,0,0.0,10,13,0,0,stable
608,Ollie Scarles,15,0,0,0.0,8,7,69,0,decreasing
609,Jean-Clair Todibo,15,450,5,90.0,2,5,720,8,increasing
610,Aaron Wan-Bissaka,15,450,5,90.0,1,4,741,8,increasing
611,Kaelan Casey,15,0,0,0.0,10,15,0,0,stable
612,Lucas Tolentino Coelho de Lima,15,246,3,49.2,2,1,696,8,decreasing
613,Tomáš Souček,15,158,5,31.6,2,3,321,3,stable
