id,name,full_name,team,position,total_minutes,games_played,total_points,recent_minutes,recent_games,minutes_per_recent_game,times_unavailable_last_10,estimated_injury_count,goals,assists,yellow_cards,red_cards,chance_of_playing,news,status,form,influence,creativity,threat,ict_index,selected_by_percent,estimated_age
425,Echeverri,Claudio Echeverri,Man City,3,0,0,0,0,0,0.0,10,15,0,0,0,0,100,Has joined Bayer Leverkusen on loan for the rest of the season.,u,0.0,0.0,0.0,0.0,0.0,0.0,21
427,Reijnders,Tijjani Reijnders,Man City,3,946,11,46,189,4,47.25,1,0,2,2,2,0,100,,a,3.0,188.2,215.8,203.0,60.1,13.5,26
428,Nypan,Sverre Nypan,Man City,3,0,0,0,0,0,0.0,10,15,0,0,0,0,100,Has joined Middlesbrough on loan for the rest of the season.,u,0.0,0.0,0.0,0.0,0.0,0.0,21
429,Phillips,Kalvin Phillips,Man City,3,0,0,0,0,0,0.0,10,0,0,0,0,0,100,,a,0.0,0.0,0.0,0.0,0.0,0.1,21
430,Haaland,Erling Haaland,Man City,4,1282,15,122,428,5,85.6,0,0,15,3,0,0,100,,a,5.0,619.0,105.0,785.0,151.0,73.0,26
736,Donnarumma,Gianluigi Donnarumma,Man City,1,1080,12,43,450,5,90.0,0,0,0,0,4,0,100,,a,3.0,177.4,0.0,0.0,17.9,10.2,28
739,Mukasa,Divine Mukasa,Man City,3,0,0,0,0,0,0.0,10,0,0,0,0,0,100,,a,0.0,0.0,0.0,0.0,0.0,0.0,21
740,Mfuni,Stephen Mfuni,Man City,2,0,0,0,0,0,0.0,10,0,0,0,0,0,100,,a,0.0,0.0,0.0,0.0,0.0,0.0,22
742,McAidoo,Ryan McAidoo,Man City,3,0,0,0,0,0,0.0,10,0,0,0,0,0,100,,a,0.0,0.0,0.0,0.0,0.0,0.0,21
119,Mbeumo,Bryan Mbeumo,Man Utd,3,1315,15,72,450,5,90.0,0,0,6,1,3,0,100,,a,3.0,347.0,442.2,487.0,127.6,28.9,26
431,Bayindir,Altay Bayındır,Man Utd,1,540,6,11,0,0,0.0,9,0,0,0,0,0,100,,a,0.0,118.4,10.0,0.0,12.8,0.3,28
