id,code,web_name,first_name,second_name,full_name,team_id,team_name,team_short_name,team_strength,position_id,position,status,status_description,chance_of_playing_next,chance_of_playing_this,news,news_added,minutes,starts,expected_starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,saves,yellow_cards,red_cards,influence,creativity,threat,ict_index,now_cost,selected_by_percent,in_dreamteam,fetch_date,current_gameweek,games_played,recent_minutes_last_5,recent_games_last_5,avg_minutes_per_game_last_5,times_unavailable_last_10,max_consecutive_unavailable,total_minutes_last_10,games_started_last_10,workload_trend,total_upcoming_fixtures,next_5_fixtures_count,avg_days_between_fixtures,congestion_level,home_fixtures_upcoming,away_fixtures_upcoming
30,219847,Havertz,Kai,Havertz,Kai Havertz,1,Arsenal,ARS,5,4,FWD,i,Injured,0.0,0.0,Knee injury - Unknown return date,2025-08-20T13:00:06.498911Z,30,0,0.01,0,0,0,0,0,0,0,0,0,0,2.8,0.8,2.0,0.6,7.3,0.3,False,2025-12-10 15:30:26,15,15,0,0,0.0,10,14,0,0,stable,23,5,10.0,Low,12,11
31,205651,G.Jesus,Gabriel,Fernando de Jesus,Gabriel Fernando de Jesus,1,Arsenal,ARS,5,4,FWD,a,Available,100.0,100.0,,2025-07-21T10:00:04.697564Z,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6.4,0.1,False,2025-12-10 15:30:26,15,15,0,0,0.0,10,15,0,0,stable,23,5,10.0,Low,12,11
266,232413,Eze,Eberechi,Eze,Eberechi Eze,1,Arsenal,ARS,5,3,MID,a,Available,100.0,100.0,,,935,11,3.92,4,3,6,6,0,0,0,0,0,0,248.0,147.6,279.0,67.4,7.8,19.0,False,2025-12-10 15:30:26,15,15,322,5,64.4,0,1,709,8,stable,23,5,10.0,Low,12,11
662,500040,Mosquera,Cristhian,Mosquera,Cristhian Mosquera,1,Arsenal,ARS,5,2,DEF,i,Injured,0.0,50.0,Ankle injury - Unknown return date,2025-12-04T09:00:09.512338Z,429,4,0.43,0,0,1,4,0,0,0,0,1,0,84.0,23.2,8.0,11.5,5.4,0.2,False,2025-12-10 15:30:26,15,15,137,4,27.4,4,2,227,1,increasing,23,5,10.0,Low,12,11
666,224117,Gyökeres,Viktor,Gyökeres,Viktor Gyökeres,1,Arsenal,ARS,5,4,FWD,a,Available,100.0,100.0,,2025-11-01T18:00:08.847750Z,871,10,5.14,4,0,5,4,0,0,0,0,2,0,159.8,109.3,318.0,58.6,8.8,10.5,False,2025-12-10 15:30:26,15,15,70,3,14.0,2,2,475,4,decreasing,23,5,10.0,Low,12,11
700,616077,Dowman,Max,Dowman,Max Dowman,1,Arsenal,ARS,5,3,MID,i,Injured,0.0,100.0,Ankle injury - Unknown return date,2025-12-10T00:00:08.266774Z,27,0,0.16,0,1,0,0,0,0,0,0,0,0,1.0,0.8,26.0,2.8,4.3,0.5,False,2025-12-10 15:30:26,15,14,0,0,0.0,10,12,0,0,stable,23,5,10.0,Low,12,11
711,646243,Harriman-Annous,Andre,Harriman-Annous,Andre Harriman-Annous,1,Arsenal,ARS,5,3,MID,a,Available,100.0,100.0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.5,0.0,False,2025-12-10 15:30:26,15,13,0,0,0.0,10,13,0,0,stable,23,5,10.0,Low,12,11
725,448104,Hincapie,Piero,Hincapié,Piero Hincapié,1,Arsenal,ARS,5,2,DEF,a,Available,100.0,100.0,,2025-09-24T06:00:06.296709Z,383,4,0.46,0,0,1,4,0,0,0,0,1,0,81.8,6.1,2.0,8.9,5.4,0.6,False,2025-12-10 15:30:26,15,12,357,4,71.4,4,5,383,4,increasing,23,5,10.0,Low,12,11
759,616065,Salmon,Marli,Salmon,Marli Salmon,1,Arsenal,ARS,5,2,DEF,a,Available,100.0,100.0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,0.0,False,2025-12-10 15:30:26,15,1,0,0,0.0,1,1,0,0,insufficient_data,23,5,10.0,Low,12,11
32,98980,Martinez,Emiliano,Martínez Romero,Emiliano Martínez Romero,2,Aston Villa,AVL,3,1,GK,a,Available,100.0,75.0,,2025-12-04T09:30:08.363373Z,1080,12,0.03,0,0,4,9,0,1,0,34,1,0,277.4,3.0,0.0,27.9,5.1,3.7,False,2025-12-10 15:30:26,15,15,360,4,72.0,1,1,810,9,stable,23,5,12.5,Low,11,12
33,72147,M.Bizot,Marco,Bizot,Marco Bizot,2,Aston Villa,AVL,3,1,GK,a,Available,100.0,100.0,,,270,3,0.0,0,0,1,6,0,0,0,8,2,0,49.4,0.0,0.0,5.0,4.2,0.4,False,2025-12-10 15:30:26,15,15,90,1,18.0,9,10,90,1,increasing,23,5,12.5,Low,11,12
34,462492,Gauci,Joe,Gauci,Joe Gauci,2,Aston Villa,AVL,3,1,GK,u,Unavailable,0.0,0.0,Has joined Port Vale on loan for the rest of the season.,2025-08-12T07:40:37.843391Z,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,0.1,False,2025-12-10 15:30:26,15,15,0,0,0.0,10,15,0,0,stable,23,5,12.5,Low,11,12
